companyName,title,jobFunction,descriptionText,location,salary,salaryInfo/0,salaryInfo/1,seniorityLevel,postedAt,companyDescription,companyWebsite,industries,applicantsCount,link
NYC Health + Hospitals,Assistant Vice President of Pharmacy Operations,Management and Manufacturing,"Marketing StatementNYC Health + Hospitals is the largest public health care system in the United States. We provide essential outpatient, inpatient and home-based services to more than one million New Yorkers every year across the city’s five boroughs. Our large health system consists of ambulatory centers, acute care centers, post-acute care/long-term care, rehabilitation programs, Home Care, and Correctional Health Services. Our diverse workforce is uniquely focused on empowering New Yorkers.At NYC Health + Hospitals, our mission is to deliver high quality care health services, without exception. Every employee takes a person-centered approach that exemplifies the ICARE values (Integrity, Compassion, Accountability, Respect, and Excellence) through empathic communication and partnerships between all persons.Duties & ResponsibilitiesThe AVP, Pharmacy Operations will be an integral member of the executive leadership team, directly contributing to the development and execution of system-wide initiatives. Reporting to the Senior Vice President, this role requires a results-driven leader who will manage a broad range of responsibilities, including strategic planning, operational performance, staff development, and financial management. The AVP will work closely with senior leadership, hospital administrators, clinical departments, and various stakeholders to optimize pharmacy services, drive operational efficiencies, and improve patient outcomes.Summary Of Essential Duties And ResponsibilitiesStrategic Planning:Spearhead the creation and implementation of strategic initiatives across the Health System, focusing on both clinical and non-clinical pharmacy operations. Collaborate with senior leadership to align pharmacy services with the system’s long-term vision and goalsDevelop forward-thinking models for pharmaceutical care management that enhance patient safety, medication access, and overall patient outcomes. Lead efforts to maximize market share and identify growth opportunities through service expansion and business developmentLead the identification and execution of technological upgrades and innovations that support pharmacy operations. Drive the integration of advanced systems, such as CPOE, Automated Dispensing Cabinets, and Bar-coded Medication Administration, to improve medication safety and operational efficiencies across the systemEstablish and lead strategic initiatives focused on medication safety, ensuring a culture of safety across all levels of pharmacy operations. Participate in organization-wide medication safety planning and activities to continuously reduce risk and improve patient careOperational Performance:Assume full accountability for the execution and management of all pharmacy services across the Health System. Ensure seamless integration of pharmacy care with clinical care pathways, optimizing pharmacy workflows, and maintaining continuous improvements in pharmacy operations to deliver exceptional patient outcomesDevelop and implement robust systems and processes to ensure patient access to safe, affordable, and timely medications. Collaborate with pharmacy teams and interdisciplinary care teams to eliminate barriers to medication access, improve medication therapy management, and ensure patients receive the right medications at the right timePromote a culture of operational excellence by identifying inefficiencies in existing processes and leading initiatives to redesign and streamline workflows. Utilize process improvement methodologies to enhance service quality, reduce costs, waste, and operational bottlenecks. Oversee the implementation of best practices across all pharmacy departments to ensure consistency and high levels of performanceDirect the development and deployment of advanced inventory management systems to optimize the procurement, distribution, and use of pharmaceuticals across the system. Ensure medication stock levels are effectively managed to prevent shortages and overstock situations while adhering to regulatory compliance standards. Leverage data analytics to forecast demand accurately and proactively manage inventory at both the system and hospital levelsEstablish and monitor key performance indicators (KPIs) related to pharmacy operations, including medication error rates, prescription turnaround times, patient satisfaction scores, inventory turnover rates, and cost control measures. Use data-driven insights to identify areas for improvement and implement corrective actions. Regularly report performance results to senior leadership, providing recommendations to enhance operational effectivenessContinuously evaluate the operational landscape to identify opportunities for service expansion, including new pharmacy services, satellite pharmacy locations, or enhanced delivery models. Develop comprehensive business cases and work collaboratively with leadership teams to implement new services that align with the Health System’s strategic goals and improve overall operational capabilitiesFacilitate collaboration and communication between pharmacy departments, clinical teams, nursing, medical staff, and leadership to ensure the efficient delivery of pharmacy services. Engage with multidisciplinary teams to design and implement care models that maximize efficiency, safety, and patient satisfaction. Act as a liaison between operational teams to ensure alignment and successful implementation of system-wide pharmacy initiativesOversee the development and implementation of policies and procedures that ensure pharmacy operations comply with federal, state, and local regulations. Regularly audit pharmacy practices and procedures to ensure compliance with regulatory standards, safety protocols, and accreditation requirements. Ensure all pharmacies are prepared for inspections, audits, and accreditation reviewsOversee the allocation of pharmacy resources, including staffing, equipment, and technology. Work closely with department leaders to ensure resources are optimally deployed, staffing levels are aligned with patient volume and operational needs, and pharmacy teams are adequately trained to meet the evolving demands of the Health SystemFoster a system-wide commitment to continuous improvement by initiating and overseeing quality improvement projects focused on pharmacy services. Lead initiatives aimed at reducing medication errors, enhancing medication safety, improving patient satisfaction, and increasing operational efficiency. Promote a culture of ongoing learning and adaptation to ensure pharmacy services evolve in line with industry best practicesStaff Development:Ensure staff are prepared to meet organizational goalsPromote a collaborative, team-oriented environment across pharmacy teams, clinical departments, and other stakeholders. Ensure alignment of pharmacy department goals with the broader Health System’s prioritiesFinancial Management:Oversee the financial performance of pharmacy operations, including budgeting, forecasting, and cost control measures. Work closely with senior leadership to implement financial strategies that reduce costs while maintaining high-quality care standardsLead the development and execution of departmental budgets. Conduct regular financial reviews to ensure pharmacy expenditures align with the Health System’s financial objectives. Provide actionable insights to reduce costs and optimize resource allocationMinimum QualificationsMaster's degree from an accredited college or university in Hospital, Business or Public Administration, Health Care Planning or a related discipline; and five (5) years of progressively responsible experience in health and medical service administration, public administration, personnel and labor relations, finance or an appropriate functional discipline with an emphasis on planning, liaison and inter-organizational relationships or related administrative or managerial functions; orBachelor’s degree from an accredited college or university in disciplines, as listed in #1 above; and six (6) years of progressively responsible experience, as described in #1 above; orSatisfactory equivalent combination of education, training and experience. However, all candidates must have a minimum of a Bachelor’s degree in disciplines, as listed in #1 above.Department PreferencesNew York State (NYS) Licensed Pharmacist (RPh) requiredDoctor of Pharmacy (PharmD); MBA or advanced degree in healthcare administration10+ years of experience in pharmacy operations, with at least 5 years in a senior leadership roleStrong academic background with a focus in pharmaceutical sciences, business, or healthcare managementExperience working for a hospital system and specialized knowledge and experience with multi-disciplinary team collaboration and project management in a clinical environment.In-depth knowledge of clinical and operational pharmacy practices, including medication therapy management, inventory control, and medication safety protocolsExpertise in healthcare regulations, including FDA, DEA, and state pharmacy laws and complianceComprehensive understanding of pharmacy operations and systems integrationStrong leadership skills with the ability to influence at all organizational levelsAdvanced knowledge of strategic planning, financial management, and healthcare operational efficiencyProficient in healthcare IT systems such as EPIC and pharmacy management softwareAdvanced Excel skills for data analysis and financial forecasting; familiarity with ERP systemsProven track record of managing large-scale pharmacy departments and leading system-wide operational initiatives","New York, NY",,,"$225,000.00",Executive,2026-04-05T12:15:55.000Z,"NYC Health + Hospitals is the nation’s largest public health care delivery system. We are an integrated network of hospitals, trauma centers, neighborhood health centers, nursing homes, and post-acute care centers. We are a home care agency and a health plan, MetroPlus. The health system provides essential services to more than 1.4 million New Yorkers every year in more than 70 patient care locations and in their homes. Our talented workforce of more than 40,000 represents the diversity of our city and the communities we serve. The excellence of our staff, and our continued mission to care for all without exception, make us unique and rightly positioned to provide equitable, high-quality, culturally responsive, and affordable health care in every New York City community.

Our promise to New Yorkers: Empower every New Yorker – without exception – to live the healthiest life possible by providing equitable, high quality, culturally responsive, and affordable health care in every community.",http://www.nychealthandhospitals.org/,Hospitals and Health Care,135,https://www.linkedin.com/jobs/view/assistant-vice-president-of-pharmacy-operations-at-nyc-health-%2B-hospitals-4334400486?refId=0VlnSRGDShXb8%2F8Z0kFjwA%3D%3D&trackingId=N4EmjfEvwDK4MQAkzw3tdg%3D%3D&position=1&pageNum=0
Whatnot,Corporate Counsel,Legal,"🚀 Join the Future of Commerce with Whatnot!

Whatnot is the largest livestream shopping platform in North America and Europe to buy, sell, and discover the things you love. Whether it's trading cards, fashion, electronics, or live plants, our sellers are building real businesses across hundreds of categories. We're building live commerce at a scale that's never been done in the West, and there's no playbook to copy. The people here are shaping how an entirely new industry develops.

As a remote co-located team, we're inspired by our values and anchored in hubs across the US, UK, Ireland, Poland, Germany, and Australia. We move fast, stay close to our users, and focus on the work that drives the most impact.

We're one of the fastest growing marketplaces and were recently named the #1 Best Startup Employer in America by Forbes. Check out the latest Whatnot updates on our news and engineering blogs and join us as we enable anyone to turn their passion into a business and bring people together through commerce.

💻 Role

We are looking for an exceptional Corporate Counsel to support Whatnot’s rapidly scaling business operations. As a key member of our growing legal team, you will advise on a broad range of commercial and corporate matters, from negotiating high-impact contracts to supporting strategic transactions and governance initiatives.

This person will partner closely with teams across the company—including Partnerships, Product, Finance, and Operations—to build and manage scalable legal programs that empower innovation while managing risk. The ideal candidate has strong experience with both commercial agreements and general corporate work, thrives in a fast-paced, collaborative environment, and brings a proactive, business-minded approach to problem solving.

Support general corporate matters, including entity management, corporate governance, and capitalization administration.Assist with financing transactions, mergers and acquisitions, and other strategic initiatives.Advise business teams on contract structure, risk allocation, and negotiation strategies.Work closely with outside counsel on specialized corporate, tax, or M&A matters as needed.Draft, review, and negotiate a wide range of commercial agreements, including vendor, customer, creator, influencer, marketing, SaaS, and technology contracts.Collaborate with cross-functional teams to develop scalable templates, playbooks, and contracting processes.Partner with Finance and Business Operations on compliance, risk management, and deal execution.Support internal education and training around contract processes and legal best practices.Help strengthen and scale Whatnot’s legal operations and infrastructure to support continued growth.

We offer flexibility to work from home or from one of our global office hubs, and we value in-person time for planning, problem-solving, and connection. Team members in this role must live within commuting distance of our New York City, San Francisco, or Los Angeles hubs.

👋 You

About

People who do well at Whatnot tend to be comfortable figuring things out as they go, biased toward action, and genuinely curious about what they're building. They care more about outcomes than credit and stay close to the product and the people using it. You should have:

A law degree and active membership in at least one U.S. jurisdiction (preferably NY or CA).7+ years of combined experience at a top law firm and/or in-house legal department, with a focus on commercial contracting and corporate law.Experience drafting and negotiating a broad range of contracts, including technology and SaaS agreements.Solid understanding of general corporate principles, including governance, financings, and M&A transactions.Strong business judgment and ability to translate legal advice into actionable business guidance.Excellent written, verbal, and interpersonal communication skills.Ability to work independently, handle multiple projects simultaneously, and meet deadlines in a fast-moving environment.A proactive, collaborative, and solutions-oriented mindset—with a sense of humor and curiosity.

🎁 Benefits

Generous Holiday and Time off PolicyHealth Insurance options including Medical, Dental, VisionWork From Home SupportHome office setup allowanceMonthly allowance for cell phone and internetCare benefitsMonthly allowance for wellnessAnnual allowance towards ChildcareLifetime benefit for family planning, such as adoption or fertility expensesRetirement; 401k offering for Traditional and Roth accounts in the US (employer match up to 4% of base salary) and Pension plans internationallyMonthly allowance to dogfood the appAll Whatnauts are expected to develop a deep understanding of our product. We're passionate about building the best user experience, and all employees are expected to use Whatnot as both a buyer and a seller as part of their job (our dogfooding budget makes this fun and easy!).Parental Leave16 weeks of paid parental leave + one month gradual return to work *company leave allowances run concurrently with country leave requirements which take precedence.💛 EOE

Whatnot is proud to be an Equal Opportunity Employer. We value diversity, and we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, parental status, disability status, or any other status protected by local law. We believe that our work is better and our company culture is improved when we encourage, support, and respect the different skills and experiences represented within our workforce.

Compensation Range: $225K - $285K

","San Francisco, CA",,,"$225,000.00",Mid-Senior level,2026-04-05T15:26:15.000Z,"Whatnot is the largest livestream shopping platform in the US, UK, and Europe—bringing millions together to shop, sell, and connect around the things they love. 

We’re building the future of ecommerce, bringing together community, shopping and entertainment. We are committed to our values, and as a remote co-located team, we operate out of hubs within the US, UK, Ireland, Poland, and Germany today.

We’re innovating in the fast-paced world of live shopping from bags to beauty, comics to coins, sneakers to streetwear, and vintage to vinyl. With over hundreds of categories including electronics, sports and Pokémon cards, fashion, plants, jewelry and more—we’ve got it all! 

And, we’re growing. Whatnot has been one of the fastest growing marketplaces and we’re hiring forward-thinking problem solvers across all functional areas.",http://www.whatnot.com,"Technology, Information and Internet",200,https://www.linkedin.com/jobs/view/corporate-counsel-at-whatnot-4324899060?refId=OT0CtTEgA3jNqutSAlFoCw%3D%3D&trackingId=pG31Q2VrEepH969%2Bm6Yypw%3D%3D&position=1&pageNum=0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,companyName,,,,,,,,,,,,
,,title,,,,,,,,,,,,
,,jobFunction,,,,,,,,,,,,
,,descriptionText,,,,,,,,,,,,
,,location,,,,,,,,,,,,
,,salary,,,,,,,,,,,,
